ITID,Village,PMR,District,BirthPeriod,agecohort,Csex,order,AgeStopFeed,HSCAT,mother,kids,father,time,status
4000002042,8,Matri,4,>=1990,20-25,son,2nd,36,Small,0.33,0.5,0.333333333,24,0
4000002057,8,Matri,4,1980-1989,20-25,daughter,2nd,60,Medium,0.4,0.3,0.2,24,0
4000002065,8,Patri,4,1980-1989,>25,daughter,1st,24,Small,0.25,0.5,0.25,24,0
4000002070,8,Patri,4,>=1990,20-25,daughter,2nd,24,Big,0.13,0.34,0.4375,24,0
4000002070,8,Patri,4,>=1990,20-25,daughter,1st,36,Big,0.13,0.34,0.4375,24,0
4000002103,8,Patri,4,>=1990,20-25,daughter,1st,5,Medium,0.1,0.35,0.4,5,0
4000002184,8,Patri,4,1980-1989,>25,daughter,2nd,36,Big,0.25,0.42,0.416666667,24,0
4000002184,8,Patri,4,1980-1989,>25,daughter,2nd,24,Big,0.25,0.42,0.416666667,24,0
4000002210,8,Patri,4,1980-1989,20-25,daughter,2nd,0,Medium,0.4,0.5,0.4,0,1
4000002218,8,Patri,4,>=1990,<20,son,1st,0,Big,0.17,0.29,0.25,0,1
4000002218,8,Patri,4,>=1990,<20,daughter,2nd,36,Medium,0.17,0.29,0.25,24,0
4000002253,8,Patri,4,1980-1989,20-25,son,2nd,0.75,Big,0.31,0.38,0.4375,0.75,1
4000002253,8,Patri,4,1980-1989,20-25,son,2nd,48,Big,0.31,0.38,0.4375,24,0
4000002260,8,Matri,4,1980-1989,20-25,son,2nd,60,Medium,0.38,0.5,0.375,24,0
4000002260,8,Matri,4,1980-1989,20-25,daughter,2nd,24,Medium,0.38,0.5,0.375,24,0
4000002310,14,Patri,4,>=1990,20-25,son,1st,12,Medium,0.3,0.33,0.35,12,1
4000002353,14,Neo,4,>=1990,20-25,son,1st,36,Big,0.09,0.25,0.318181818,24,0
4000002353,14,Neo,4,>=1990,20-25,son,2nd,12,Big,0.09,0.25,0.318181818,12,1
4000002367,14,Matri,4,1980-1989,>25,daughter,1st,0,Small,0.25,0.5,0.25,0,1
4000002371,14,Patri,4,>=1990,<20,daughter,1st,4,Small,0.25,0.5,0.25,4,0
4000002374,14,Matri,4,>=1990,<20,son,1st,18,Small,0.38,0.5,0,18,0
4000002374,14,Matri,4,>=1990,20-25,daughter,2nd,6,Small,0.38,0.5,0,6,1
4000002388,14,Patri,4,>=1990,20-25,daughter,1st,24,Medium,0.17,0.35,0.375,24,0
4000002388,14,Patri,4,>=1990,20-25,son,2nd,12,Big,0.17,0.35,0.375,12,1
4000002410,14,Patri,4,1980-1989,20-25,son,2nd,0,Small,0.33,0.5,0.333333333,0,1
4000002414,14,Patri,4,1980-1989,<20,son,2nd,72,Medium,0.38,0.5,0.375,24,0
4000002431,14,Patri,4,>=1990,<20,son,1st,1,Small,0.33,0.5,0.333333333,1,1
